datetime,id,output_kW
2024-10-01 20:00:00+00:00,WT1,2300.0
2024-10-01 21:00:00+00:00,WT1,2300.0
2024-10-01 22:00:00+00:00,WT1,2300.0
2024-10-01 23:00:00+00:00,WT1,2300.0
2024-10-02 00:00:00+00:00,WT1,2300.0
2024-10-02 01:00:00+00:00,WT1,2300.0
2024-10-02 02:00:00+00:00,WT1,2300.0
2024-10-02 03:00:00+00:00,WT1,2300.0
2024-10-02 04:00:00+00:00,WT1,2300.0
2024-10-02 05:00:00+00:00,WT1,2300.0
2024-10-02 06:00:00+00:00,WT1,2300.0
2024-10-02 07:00:00+00:00,WT1,2300.0
2024-10-02 08:00:00+00:00,WT1,2300.0
2024-10-02 09:00:00+00:00,WT1,2300.0
2024-10-02 10:00:00+00:00,WT1,2300.0
2024-10-02 11:00:00+00:00,WT1,2300.0
2024-10-02 12:00:00+00:00,WT1,2300.0
2024-10-02 13:00:00+00:00,WT1,2300.0
2024-10-02 14:00:00+00:00,WT1,2300.0
2024-10-02 15:00:00+00:00,WT1,2300.0
2024-10-02 16:00:00+00:00,WT1,2300.0
2024-10-02 17:00:00+00:00,WT1,2300.0
2024-10-02 18:00:00+00:00,WT1,2273.607292175293
2024-10-02 19:00:00+00:00,WT1,2201.9198989868164
2024-10-02 20:00:00+00:00,WT1,2118.24893951416
2024-10-02 21:00:00+00:00,WT1,2021.9628143310547
2024-10-02 22:00:00+00:00,WT1,1866.6666666666667
2024-10-02 23:00:00+00:00,WT1,1682.1759541829426
2024-09-26 00:00:00+00:00,WT2,209.7524642944336
2024-09-26 01:00:00+00:00,WT2,369.27318572998047
2024-09-26 02:00:00+00:00,WT2,200.0
2024-09-26 03:00:00+00:00,WT2,757.2577476501465
2024-09-26 04:00:00+00:00,WT2,1655.5318196614583
2024-09-26 05:00:00+00:00,WT2,1994.2975362141926
2024-09-26 06:00:00+00:00,WT2,1994.2975362141926
2024-09-26 07:00:00+00:00,WT2,1920.4984029134114
2024-09-26 08:00:00+00:00,WT2,1787.8430684407551
2024-09-26 09:00:00+00:00,WT2,2118.5993576049805
2024-09-26 10:00:00+00:00,WT2,2175.433006286621
2024-09-26 11:00:00+00:00,WT2,2127.182083129883
2024-09-26 12:00:00+00:00,WT2,2094.0156173706055
2024-09-26 13:00:00+00:00,WT2,2028.545913696289
2024-09-26 14:00:00+00:00,WT2,2001.6353607177734
2024-09-26 15:00:00+00:00,WT2,2043.7830352783203
2024-09-26 16:00:00+00:00,WT2,2096.8133544921875
2024-09-26 17:00:00+00:00,WT2,2110.7704544067383
2024-09-26 18:00:00+00:00,WT2,2264.045524597168
2024-09-26 19:00:00+00:00,WT2,2232.5051498413086
2024-09-26 20:00:00+00:00,WT2,2251.0837173461914
2024-09-26 21:00:00+00:00,WT2,2250.487823486328
2024-09-26 22:00:00+00:00,WT2,2280.9997177124023
2024-09-26 23:00:00+00:00,WT2,2118.24893951416
2024-09-27 00:00:00+00:00,WT2,2175.5775451660156
2024-09-27 01:00:00+00:00,WT2,2295.415725708008
2024-09-27 02:00:00+00:00,WT2,2291.265296936035
2024-09-27 03:00:00+00:00,WT2,2300.0
2024-09-27 04:00:00+00:00,WT2,2300.0
2024-09-27 05:00:00+00:00,WT2,2300.0
2024-09-27 06:00:00+00:00,WT2,2300.0
2024-09-27 07:00:00+00:00,WT2,2300.0
2024-09-27 08:00:00+00:00,WT2,2300.0
2024-09-27 09:00:00+00:00,WT2,2300.0
2024-09-27 10:00:00+00:00,WT2,2300.0
2024-09-27 11:00:00+00:00,WT2,2300.0
2024-09-27 12:00:00+00:00,WT2,2300.0
2024-09-27 13:00:00+00:00,WT2,2300.0
2024-09-27 14:00:00+00:00,WT2,2300.0
2024-09-27 15:00:00+00:00,WT2,2300.0
2024-09-27 16:00:00+00:00,WT2,2201.730613708496
2024-09-27 17:00:00+00:00,WT2,2300.0
2024-09-27 18:00:00+00:00,WT2,2219.792137145996
2024-09-27 19:00:00+00:00,WT2,2005.4432678222656
2024-09-27 20:00:00+00:00,WT2,1822.7671305338542
2024-09-27 21:00:00+00:00,WT2,1882.7476501464844
2024-09-27 22:00:00+00:00,WT2,1666.4957682291667
2024-09-27 23:00:00+00:00,WT2,1505.9951782226562
2024-09-28 00:00:00+00:00,WT2,2159.945945739746
2024-09-28 01:00:00+00:00,WT2,966.3227081298828
2024-09-28 02:00:00+00:00,WT2,992.491340637207
2024-09-28 03:00:00+00:00,WT2,2300.0
2024-09-28 04:00:00+00:00,WT2,2300.0
2024-09-28 05:00:00+00:00,WT2,2259.8582458496094
2024-09-28 06:00:00+00:00,WT2,2300.0
2024-09-28 07:00:00+00:00,WT2,2274.2395782470703
2024-09-28 08:00:00+00:00,WT2,2206.6904830932617
2024-09-28 09:00:00+00:00,WT2,2197.893295288086
2024-09-28 10:00:00+00:00,WT2,2225.439796447754
2024-09-28 11:00:00+00:00,WT2,2167.709617614746
2024-09-28 12:00:00+00:00,WT2,2181.918830871582
2024-09-28 13:00:00+00:00,WT2,2228.372116088867
2024-09-28 14:00:00+00:00,WT2,2208.198928833008
2024-09-28 15:00:00+00:00,WT2,2190.4754638671875
2024-09-28 16:00:00+00:00,WT2,2161.890640258789
2024-09-28 17:00:00+00:00,WT2,2176.876678466797
2024-09-28 18:00:00+00:00,WT2,2188.2334518432617
2024-09-28 19:00:00+00:00,WT2,2133.3877563476562
2024-09-28 20:00:00+00:00,WT2,2099.25048828125
2024-09-28 21:00:00+00:00,WT2,2015.88623046875
2024-09-28 22:00:00+00:00,WT2,2057.0751190185547
2024-09-28 23:00:00+00:00,WT2,2065.3635025024414
2024-09-29 00:00:00+00:00,WT2,2145.4746627807617
2024-09-29 01:00:00+00:00,WT2,2100.872917175293
2024-09-29 02:00:00+00:00,WT2,2161.4533615112305
2024-09-29 03:00:00+00:00,WT2,2160.4324340820312
2024-09-29 04:00:00+00:00,WT2,2058.1204223632812
2024-09-29 05:00:00+00:00,WT2,1835.894266764323
2024-09-29 06:00:00+00:00,WT2,1693.0287679036458
2024-09-29 07:00:00+00:00,WT2,1362.0216369628906
2024-09-29 08:00:00+00:00,WT2,1095.0874328613281
2024-09-29 09:00:00+00:00,WT2,1015.9603118896484
2024-09-29 10:00:00+00:00,WT2,1002.2491455078125
2024-09-29 11:00:00+00:00,WT2,1127.4612426757812
2024-09-29 12:00:00+00:00,WT2,1059.6931457519531
2024-09-29 13:00:00+00:00,WT2,888.0414962768555
2024-09-29 14:00:00+00:00,WT2,679.2751312255859
2024-09-29 15:00:00+00:00,WT2,416.278076171875
2024-09-29 16:00:00+00:00,WT2,246.5179443359375
2024-09-29 17:00:00+00:00,WT2,200.0
2024-09-29 18:00:00+00:00,WT2,200.0
2024-09-29 19:00:00+00:00,WT2,200.0
2024-09-29 20:00:00+00:00,WT2,280.1852226257324
2024-09-29 21:00:00+00:00,WT2,545.5844879150391
2024-09-29 22:00:00+00:00,WT2,649.3701934814453
